Player,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,GOALS,xG,ASSISTS,xA,DUELS PER 90,DUELS WON %,Birth country,Passport country,Foot,Height,Weight,On loan,SUCCESSFUL DEFENSIVE ACTIONS PER 90,DEFENSIVE DUELS PER 90,DEFENSIVE DUELS WON %,AERIAL DUELS PER 90,AERIAL DUELS WON %,SLIDING TACKLES PER 90,PADJ SLIDING TACKLES,SHOTS BLOCKED PER 90,INTERCEPTIONS PER 90,PADJ INTERCEPTIONS,FOULS PER 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,SUCCESSFUL ATTACKING ACTIONS PER 90,GOALS PER 90,Non-penalty goals,NON PENALITY GOALS PER 90,xG PER 90,Head goals,Head goals per 90,SHOTS,SHOTS PER 90,SHOTS ON TARGET %,GOAL CONVERSION %,ASSISTS PER 90,CROSSES PER 90,ACCURATE CROSSES %,DRIBBLES PER 90,SUCCESSFUL DRIBBLES %,OFFENSIVE DUELS PER 90,OFFENSIVE DUELS WON %,TOUCHES IN BOX PER 90,PROGRESSIVE RUNS PER 90,ACCELERATIONS PER 90,PASSES PER 90,ACCURATE PASSES %,FORWARD PASSES PER 90,ACCURATE FORWARD PASSES %,BACK PASSES PER 90,ACCURATE BACK PASSES %,LATERAL PASSES PER 90,ACCURATE LATERAL PASSES %,LONG PASSES PER 90,ACCURATE LONG PASSES %,AVERAGE PASS LENGTH,AVERAGE LONG PASS LENGTH,xA PER 90,SHOT ASSISTS PER 90,SECOND ASSISTS PER 90,THIRD ASSISTS PER 90,SMART PASSES PER 90,ACCURATE SMART PASSES %,KEY PASSES PER 90,PASSES TO FINAL THIRD PER 90,ACCURATE PASSES TO FINAL THIRD %,PASSES TO PENALTY AREA PER 90,ACCURATE PASSES TO PENALTY AREA %,THROUGH PASSES PER 90,ACCURATE THROUGH PASSES %,DEEP COMPLETIONS PER 90,DEEP COMPLETED CROSSES per 90,PROGRESSIVE PASSES PER 90,ACCURATE PROGRESSIVE PASSES %
W. Boly,Nottingham Forest,RCB,33,2500000,2025-06-30,2,115,0,0.15,0,0,15.65,75,France,"France, Côte d'Ivoire",right,195,92,no,14.09,8.61,72.73,5.48,85.71,0.78,1.07,0.78,7.04,9.64,0.78,0,0,0,0,0.78,0,0,0,0.11,0,0,1,0.78,100,0,0,0,0,0,0,0,0,0.78,0,0,39.13,84,17.22,81.82,5.48,100,13.3,82.35,7.83,60,30.86,23.17,0,0,0,0,0,0,0,5.48,57.14,0,0,0,0,0,0,8.61,81.82
J. Ward-Prowse,Nottingham Forest,"LDMF, RCMF, RDMF",30,30000000,2027-06-30,7,439,0,0.09,0,0.84,9.02,47.73,England,England,right,177,66,yes,5.74,4.1,40,2.46,41.67,0.21,0.21,0.62,3.9,4.07,1.03,1,0.21,1,0.21,0.41,0,0,0,0.02,0,0,3,0.62,33.33,0,0,0.62,33.33,0,0,0.62,0,0,0.41,0.41,32.6,88.05,12.3,80,5.13,100,8.82,95.35,2.05,50,17.67,25.51,0.17,1.03,0.21,0,0,0,0,5.13,72,0.62,100,0,0,0.41,0.21,2.46,58.33
H. Toffolo,Nottingham Forest,LB,29,5000000,2025-06-30,1,43,0,0,0,0,,,England,England,left,183,71,no,,,,,,,0,,,5.45,,0,,0,,,,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,19.57,0,,,,,,,,,,,,,,,,,
Murillo,Nottingham Forest,"LCB, CB",22,0,,15,1513,1,1.61,0,0.53,9.4,60.13,Brazil,Brazil,left,184,77,no,8.8,3.69,58.06,1.84,64.52,0.42,0.46,1.13,6.25,6.91,0.54,2,0.12,0,0,1.01,0.06,1,0.06,0.1,1,0.06,12,0.71,33.33,8.333,0,0.18,66.67,0.71,91.67,1.96,57.58,0.59,0.59,0,30.99,81.77,16.77,72.7,1.13,94.74,9.58,92.55,5.89,48.48,21.47,39.66,0.03,0.24,0,0,0.18,0,0.12,5.53,63.44,1.01,41.18,0.48,25,0.36,0.12,7.44,68
A. Elanga,Nottingham Forest,"RAMF, LW, CF",22,22000000,2028-06-30,15,905,0,1.12,1,2.03,17.6,48.02,Sweden,"Sweden, Cameroon",right,178,75,no,4.18,3.68,64.86,2.29,39.13,0,0,0,1.79,2.01,0.3,1,0.1,0,0,4.28,0,0,0,0.11,0,0,12,1.19,25,0,0.1,2.69,22.22,5.07,64.71,8.95,48.89,2.98,3.08,0.99,20.19,74.38,2.39,75,4.67,89.36,6.96,65.71,0.9,66.67,16.29,19.35,0.2,1.39,0,0,0.1,100,0.4,0.6,83.33,2.29,43.48,0.1,100,0.7,0.5,1.99,70
Morato,Nottingham Forest,"LCB, LB",23,15000000,2029-06-30,8,209,0,0,0,0,9.9,47.83,Brazil,Brazil,left,192,88,no,9.9,4.74,63.64,3.44,37.5,0,0,0.43,6.89,7.16,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0.86,50,0,0,0,21.1,73.47,13.78,68.75,2.15,80,3.01,85.71,3.88,33.33,19.33,24.28,0,0,0,0,0,0,0,3.01,57.14,0,0,0.43,0,0,0,4.74,27.27
C. Wood,Nottingham Forest,CF,33,7000000,,15,1238,10,6.34,0,0.82,16.79,32.03,New Zealand,New Zealand,right,191,81,no,2.04,1.53,66.67,6.98,31.25,0.07,0.08,0.07,0.95,1.07,0.44,1,0.07,0,0,1.31,0.73,8,0.58,0.46,4,0.29,25,1.82,64,40,0,0.07,100,0.15,0,3.2,27.27,2.84,0.36,0.15,11.63,71.25,2.62,58.33,3.13,86.05,3.05,76.19,0.44,50,14.6,12.09,0.06,0.22,0,0,0.07,100,0.07,1.45,50,0.44,66.67,0.07,100,0.22,0.07,1.31,61.11
O. Aina,Nottingham Forest,"RB, LB",28,12000000,2025-06-30,15,1430,1,0.16,0,0.66,14.73,50.43,England,"England, Nigeria",right,184,82,no,9.19,6.17,54.08,1.13,38.89,0.5,0.56,0.19,5.35,5.92,0.44,2,0.13,0,0,2.08,0.06,1,0.06,0.01,0,0,4,0.25,25,25,0,1.83,44.83,2.2,54.29,5.6,43.82,0.44,1.95,0.76,31.91,83.63,13.66,78.34,4.22,94.03,7.62,85.12,3.02,52.08,16.96,31.38,0.04,0.25,0,0,0.06,0,0.25,4.28,69.12,1.83,48.28,0.19,0,0.31,0.82,6.42,70.59
T. Awoniyi,Nottingham Forest,CF,27,28000000,2027-06-30,11,271,0,0.82,0,0.13,27.56,30.12,Nigeria,Nigeria,right,183,84,no,1.99,2.32,57.14,7.31,13.64,0,0,0,0.66,0.76,1.66,0,0,0,0,0.66,0,0,0,0.27,0,0,4,1.33,25,0,0,0.33,0,0.66,50,10.96,30.3,3.32,0.66,0,14.28,72.09,2.99,55.56,5.31,87.5,1.99,50,0.33,0,13.18,4.5,0.04,0.33,0,0,0.33,0,0.33,0.33,100,1,66.67,0.33,0,1,0,0.66,0
E. Anderson,Nottingham Forest,"LDMF, AMF, LAMF",22,0,,14,877,0,1.39,4,1.91,25.96,44.27,England,"England, Scotland",right,179,63,no,9.03,8.31,54.32,2.26,45.45,0.41,0.46,0.31,4.1,4.62,1.74,3,0.31,0,0,2.57,0,0,0,0.14,0,0,15,1.54,26.67,0,0.41,1.13,36.36,4.31,40.48,11.19,37.61,2.36,1.54,0.21,35.61,85.59,12.01,75.21,9.03,97.73,8.31,86.42,2.87,50,16.94,27.37,0.2,1.54,0,0.1,0.21,0,0.72,5.03,71.43,1.54,46.67,0.72,28.57,0.72,0.51,6.57,71.88
N. Milenković,Nottingham Forest,RCB,27,15000000,2029-06-30,14,1405,1,1.38,1,0.03,10.76,60.71,Serbia,Serbia,right,195,90,no,5.96,3.4,64.15,4.16,56.92,0.06,0.07,0.77,3.72,4.04,0.51,2,0.13,0,0,0.19,0.06,1,0.06,0.09,1,0.06,7,0.45,28.57,14.286,0.06,0,0,0.19,33.33,0.45,42.86,0.83,0.19,0,23.7,89.19,8.78,80.29,1.47,100,11.4,97.19,2.88,66.67,20.73,30.89,0,0.06,0,0,0,0,0,1.92,73.33,0.13,50,0.06,100,0.26,0,3.97,64.52
M. Gibbs-White,Nottingham Forest,AMF,24,40000000,2027-06-30,11,905,2,2.36,1,1.74,20.29,40.2,England,"England, Jamaica",right,171,70,no,5.07,5.37,57.41,3.38,35.29,0.3,0.33,0.1,1.69,1.87,1.69,4,0.4,1,0.1,2.59,0.2,2,0.2,0.24,0,0,22,2.19,40.91,9.091,0.1,0.99,40,2.39,50,8.45,30.59,3.28,1.89,0.9,35.5,79.27,10.84,67.89,6.86,94.2,9.94,82,2.19,45.45,15.95,36.06,0.17,1.09,0,0,0.4,25,1.09,6.46,75.38,2.49,48,0.8,25,1.29,0.4,5.67,71.93
C. Hudson-Odoi,Nottingham Forest,LAMF,24,18000000,2026-06-30,14,1127,2,1.84,1,1.12,13.9,46.55,England,"England, Ghana",right,178,76,no,3.75,3.27,65.85,0.96,8.33,0,0,0,1.6,1.77,0.48,1,0.08,0,0,3.51,0.16,2,0.16,0.15,0,0,20,1.6,40,10,0.08,2.4,23.33,4.15,55.77,7.99,46,2.87,3.91,0.72,30.19,84.39,5.11,75,9.5,97.48,9.5,79.83,1.52,57.89,18.38,33.02,0.09,1.68,0,0,0.08,0,0.64,2,76,2.8,37.14,0.16,0,1.2,0.48,4.15,82.69
R. Yates,Nottingham Forest,"RDMF, LDMF, RCMF",27,12000000,2028-06-30,15,1273,1,2.17,0,0.2,22.13,49.84,England,England,right,190,87,no,8.91,7.85,58.56,4.52,53.13,0.35,0.4,0.14,3.96,4.43,1.98,4,0.28,0,0,0.92,0.07,1,0.07,0.15,0,0,20,1.41,25,5,0,0.42,16.67,0.78,63.64,6.08,36.05,1.7,0.57,0.21,29.34,86.51,8.77,77.42,5.44,93.51,8.91,94.44,1.27,50,17.21,28.31,0.01,0.64,0,0,0,0,0.07,3.32,76.6,0.57,37.5,0.07,0,0.35,0.07,2.4,52.94
N. Williams,Nottingham Forest,"RB, LB",23,17000000,2026-06-30,12,663,0,0.71,0,0.67,19.28,46.48,Wales,Wales,right,183,72,no,11.54,9.5,58.57,1.76,61.54,0.68,0.79,0.68,5.29,6.19,0.81,4,0.54,0,0,1.63,0,0,0,0.1,0,0,11,1.49,27.27,0,0,1.49,45.45,2.17,25,5.97,27.27,1.63,1.63,0.54,22.4,78.79,9.1,68.66,4.34,93.75,5.43,85,2.99,54.55,19.14,28.9,0.09,0.68,0,0,0,0,0.41,1.9,71.43,1.36,70,0.41,66.67,0.54,0.54,4.89,63.89
N. Domínguez,Nottingham Forest,"LDMF, LCMF, RAMF",26,17000000,2028-06-30,13,796,0,1.36,0,0.34,16.73,53.38,Argentina,"Argentina, Italy",right,179,73,no,12.21,9.84,62.07,2.15,52.63,0.45,0.5,0.45,5.65,6.3,1.58,4,0.45,0,0,0.9,0,0,0,0.15,0,0,9,1.02,33.33,0,0,0.34,33.33,0.57,60,2.71,41.67,1.02,0.34,0.23,41.72,87.8,13.45,79.83,8.14,98.61,11.08,91.84,2.15,47.37,15.33,23.19,0.04,0.23,0,0,0.11,100,0.11,5.88,84.62,0.34,100,0.11,100,0.45,0,5.09,60
Jota Silva,Nottingham Forest,"RAMF, RW",25,12000000,2028-06-30,14,564,0,1.34,1,1.32,26.33,44.24,Portugal,Portugal,right,179,73,no,7.34,7.02,56.82,6.06,34.21,0.64,0.75,0,2.71,3.21,1.6,2,0.32,0,0,3.67,0,0,0,0.21,0,0,11,1.76,27.27,0,0.16,3.03,31.58,4.31,51.85,8.62,48.15,3.51,2.23,1.6,16.12,65.35,4.63,58.62,2.71,94.12,4.79,66.67,1.6,70,21.71,17.49,0.21,1.12,0.16,0,0,0,0.8,1.44,44.44,1.76,54.55,0.16,0,0.8,1.12,3.83,66.67
T. Dibling,Southampton,RW,,0,,1,107,0,0.05,0,0.01,27.76,51.52,,,,0,0,no,5.05,4.21,40,4.21,40,0.84,1.15,0,2.52,3.46,2.52,1,0.84,0,0,5.05,0,0,0,0.04,0,0,2,1.68,50,0,0,1.68,0,6.73,62.5,16.82,55,1.68,3.36,1.68,17.66,80.95,5.05,83.33,5.05,83.33,5.05,83.33,0,0,16.98,0,0.01,0.84,0,0,0,0,1.68,5.05,83.33,2.52,33.33,0,0,0.84,0,3.36,100
J. Bednarek,Southampton,"LCB, CB",28,11000000,2027-06-30,11,1088,0,0,0,0.75,8.85,55.14,Poland,Poland,right,189,77,no,8.02,3.56,67.44,2.4,41.38,0.33,0.47,1.41,5.29,7.5,0.66,3,0.25,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0.41,80,0.17,0.25,0.08,70.4,94.95,21.09,87.45,3.31,97.5,36.98,98.43,4.55,72.73,18.21,34.93,0.06,0.08,0,0,0,0,0.08,4.47,88.89,0.17,0,0.08,0,0.08,0,5.29,57.81
A. Ramsdale,Southampton,GK,26,25000000,2028-06-30,9,905,0,0,0,0,0.99,80,England,England,right,191,77,no,1.09,0.1,100,0.6,83.33,0,0,0,0.99,1.33,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,100,0,0,0,31.43,84.49,19.49,78.06,0,0,10.04,94.06,10.04,62.38,29.08,47.94,0,0,0,0,0,0,0,3.38,55.88,0.2,0,0,0,0,0,7.86,72.15
R. Stewart,Southampton,CF,28,4500000,2026-06-30,4,149,0,0.06,0,0.53,25.37,35.71,Scotland,Scotland,right,188,85,no,6.64,4.23,42.86,4.83,25,1.21,1.5,0,3.62,4.5,1.81,1,0.6,0,0,0,0,0,0,0.04,0,0,1,0.6,0,0,0,0,0,1.21,0,10.27,41.18,1.21,1.21,0,24.16,85,4.83,62.5,4.83,100,10.27,88.24,0,0,15.7,0,0.32,0.6,0,0,0,0,0,2.42,75,1.21,50,0,0,1.21,0,3.02,80
C. Alcaraz,Southampton,LCMF,22,15000000,2029-06-30,1,16,0,0.13,0,0,,,Argentina,Argentina,right,183,68,no,,,,,,,0,,,30,,0,,0,,,,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,18.83,0,,,,,,,,,,,,,,,,,
S. Edozie,Southampton,"LWB, RWF",21,8000000,2027-06-30,2,79,0,0,0,0.12,26.2,47.83,England,"England, Nigeria",right,181,71,yes,4.56,6.84,66.67,0,0,0,0,0,0,0,2.28,1,1.14,0,0,7.97,0,0,0,0,0,0,0,0,0,0,0,9.11,12.5,13.67,50,18.23,43.75,6.84,13.67,0,38.73,76.47,4.56,100,13.67,100,13.67,58.33,0,0,18.53,0,0.14,1.14,0,0,0,0,1.14,0,0,9.11,50,0,0,2.28,3.42,4.56,75
W. Smallbone,Southampton,RCMF,24,5000000,2026-06-30,4,265,0,0.07,0,0.49,13.25,38.46,England,"England, Republic of Ireland",right,183,71,no,6.79,6.79,55,1.02,33.33,0.34,0.6,0.34,2.72,4.8,1.36,0,0,0,0,0.68,0,0,0,0.03,0,0,2,0.68,0,0,0,2.04,16.67,0.34,100,3.74,18.18,1.7,1.02,0,33.62,80.81,7.81,56.52,8.15,95.83,11.21,81.82,0,0,12.37,0,0.17,1.36,0,0,0,0,0,2.04,66.67,2.72,12.5,0,0,0.34,0.34,2.38,57.14
L. Ugochukwu,Southampton,"LDMF, LCMF, RCMF",20,25000000,2030-06-30,6,244,0,0.11,0,0.02,18.07,42.86,France,"France, Nigeria",right,190,88,yes,8.11,7.38,50,2.58,28.57,0.37,0.55,0.74,4.06,6,1.48,1,0.37,0,0,1.84,0,0,0,0.04,0,0,1,0.37,0,0,0,0.37,100,1.48,75,5.9,43.75,1.11,0.37,0,32.09,88.51,6.64,72.22,8.11,90.91,9.59,96.15,0.37,0,14.05,11.6,0.01,0.74,0,0,0.37,100,0,2.21,83.33,0.37,100,0,0,0.37,0.37,1.84,60
A. Lallana,Southampton,"LCMF, LDMF",36,1000000,2025-06-30,8,349,0,0,1,0.16,15.21,47.46,England,England,both,172,73,no,7.48,6.45,52,0.77,33.33,0.52,0.67,0.26,3.61,4.67,1.81,4,1.03,0,0,1.03,0,0,0,0,0,0,1,0.26,0,0,0.26,0.52,100,1.03,50,5.93,52.17,1.03,0.77,0,57.51,89.69,12.64,81.63,11.6,100,15.73,93.44,3.09,66.67,14.07,29.66,0.04,0.52,0,0.26,0,0,0.26,5.42,90.48,2.84,72.73,0.77,33.33,1.81,0.52,7.22,75
P. Onuachu,Southampton,CF,30,13000000,2026-06-30,6,155,0,0.16,0,0,39.48,45.59,Nigeria,Nigeria,right,201,98,no,3.48,4.06,42.86,7.55,76.92,0,0,0,1.74,2.2,2.32,1,0.58,0,0,1.74,0,0,0,0.09,0,0,2,1.16,50,0,0,0,0,1.74,66.67,18,35.48,1.74,0,0,15.68,66.67,2.9,80,2.32,25,5.81,70,0.58,100,11.12,8.06,0,0,0,0,0,0,0.58,1.16,0,0,0,0,0,0,0,2.32,50
S. Amo-Ameyaw,Southampton,"CF, RWB",18,0,2026-06-30,2,40,0,0,0,0.13,,,England,England,left,174,68,no,,,,,,,0,,,5,,1,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,15.92,0,,,,,,,,,,,,,,,,,
K. Sulemana,Southampton,"LW, RW, CF",22,13000000,2027-06-30,5,88,0,0.04,0,0,24.55,33.33,Ghana,Ghana,right,175,70,no,4.09,6.14,16.67,2.05,0,1.02,1.11,0,2.05,2.22,1.02,0,0,0,0,2.05,0,0,0,0.04,0,0,1,1.02,0,0,0,2.05,50,2.05,50,11.25,36.36,3.07,1.02,0,14.32,85.71,1.02,0,9.2,100,1.02,100,0,0,12.64,0,0,0,0,0,0,0,0,0,0,1.02,100,0,0,0,1.02,2.05,50
Mateus Fernandes,Southampton,"LW, LCMF, AMF",20,0,,14,1157,1,2.13,0,0.72,18.2,47.01,Portugal,Portugal,right,178,72,no,7.47,7.55,57.73,0.7,33.33,0.31,0.42,0.31,2.8,3.74,1.4,3,0.23,0,0,1.87,0.08,1,0.08,0.17,0,0,12,0.93,41.67,8.333,0,1.32,11.76,1.71,59.09,8.09,38.46,1.87,1.94,0.78,35.86,84.16,9.41,80.99,7.16,91.3,11.9,83.01,2.02,65.38,16.59,29.59,0.06,0.39,0.08,0,0.47,66.67,0,3.58,82.61,2.1,55.56,0.39,60,1.24,0.08,5.06,66.15
R. Edwards,Southampton,RCB,21,3800000,2028-06-30,1,18,0,0,0,0,,,England,England,right,185,76,no,,,,,,,0,,,4.29,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,21.26,0,,,,,,,,,,,,,,,,,
A. McCarthy,Southampton,GK,35,500000,2026-06-30,3,304,0,0,0,0,0.3,100,England,England,right,193,79,no,0.89,0,0,0,0,0,0,0,0.89,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,100,0,0,0,20.72,80,10.66,75,0,0,9.18,83.87,5.33,38.89,23.83,41.07,0,0,0,0,0,0,0,1.18,50,0,0,0,0,0,0,4.14,28.57
J. Stephens,Southampton,"LCB, CB",30,2000000,2025-06-30,10,878,0,0.51,0,0,9.74,48.42,England,England,right,185,75,no,7.38,5.54,57.41,1.54,53.33,0.21,0.29,0.72,4,5.74,0.82,2,0.21,2,0.21,0.21,0,0,0,0.05,0,0,2,0.21,0,0,0,0.1,100,0.21,50,1.13,18.18,0.41,1.33,0.1,58.12,94,18.35,88.27,5.02,95.92,26.04,96.85,1.95,63.16,17.81,26.19,0,0,0,0,0.1,0,0,5.33,88.46,0.62,83.33,0.1,0,0.21,0.1,6.25,72.13
R. Fraser,Southampton,"LAMF, LB, LW",30,3000000,2026-06-30,7,341,0,0.07,0,0,11.35,46.51,Scotland,Scotland,right,163,70,no,6.07,4.75,50,1.85,42.86,0,0,0.26,3.7,4.62,0.26,0,0,1,0.26,1.06,0,0,0,0.02,0,0,1,0.26,100,0,0,2.9,9.09,0.79,66.67,3.7,35.71,1.06,2.38,0.53,25.34,76.04,5.54,66.67,7.65,100,7.92,56.67,1.58,50,17.32,7.51,0,0,0,0,0,0,0,0.79,66.67,2.64,20,0,0,0.53,0.53,4.49,47.06
C. Taylor,Southampton,LB,31,3000000,2026-06-30,6,271,0,0,0,0.06,9.96,50,England,England,left,183,72,no,8.63,4.32,46.15,1.99,66.67,1.66,2.38,1,4.98,7.14,0.66,1,0.33,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,1.66,60,0.33,100,1.99,50,0.33,1.33,0,39.85,87.5,13.28,75,9.3,100,13.95,95.24,1.33,25,19.3,19.25,0.02,0.33,0,0,0,0,0.33,2.99,55.56,1,66.67,0,0,0,1,5.31,50
M. Cornet,Southampton,"RAMF, RW",28,9000000,2027-06-30,2,82,0,0.01,0,0,19.76,61.11,Côte d'Ivoire,"Côte d'Ivoire, France",left,179,69,yes,8.78,9.88,77.78,4.39,50,1.1,1.3,0,0,0,0,1,1.1,0,0,0,0,0,0,0.01,0,0,1,1.1,0,0,0,1.1,0,1.1,0,3.29,33.33,1.1,1.1,0,20.85,89.47,2.2,50,3.29,100,10.98,90,2.2,100,16.7,34.08,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,1.1,100
R. Manning,Southampton,LB,28,3000000,2027-06-30,8,647,0,0.16,1,0.84,15.02,50,Republic of Ireland,Republic of Ireland,left,173,66,no,6.4,5.56,55,1.39,50,0.14,0.17,0.7,3.2,4.01,0.97,1,0.14,0,0,2.36,0,0,0,0.02,0,0,3,0.42,0,0,0.14,2.23,43.75,1.81,76.92,5.43,48.72,1.95,0.7,0,30.74,86.88,7.37,77.36,9.32,97.01,8.49,90.16,1.39,60,17.91,21.94,0.12,0.83,0,0,0,0,0.28,1.95,64.29,1.25,55.56,0,0,0.7,0.83,4.17,76.67
A. Armstrong,Southampton,"CF, LW, RW",27,16000000,2027-06-30,12,862,2,3.46,1,0.54,8.87,31.76,England,England,right,172,69,no,2.61,2.51,50,0.73,0,0.31,0.48,0,1.04,1.59,0.94,4,0.42,0,0,1.98,0.21,2,0.21,0.36,0,0,19,1.98,31.58,10.526,0.1,1.46,42.86,1.88,38.89,4.18,25,3.65,1.25,0.21,19.11,83.06,3.45,66.67,7.94,96.05,3.76,72.22,0.52,60,14.56,7.47,0.06,0.52,0,0,0,0,0.31,0.63,66.67,1.25,66.67,0.21,0,0.94,0.63,2.09,75
J. Lumley,Southampton,GK,29,600000,2025-06-30,3,306,0,0,0,0,1.18,100,England,England,right,190,73,no,2.06,0,0,0.88,100,0,0,0,2.06,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.88,79.51,20.29,65.22,0,0,13.24,97.78,12.94,56.82,28.1,46.58,0,0,0,0,0,0,0,3.53,50,0,0,0.29,0,0,0,10,58.82
J. Bree,Southampton,"RB, RCB",26,2200000,2026-06-30,3,150,0,0,0,0.26,12,40,England,England,right,172,73,no,6,6.6,54.55,1.8,0,0,0,0.6,2.4,3.08,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0.6,100,2.4,25,0,1.2,0,45,89.33,8.4,71.43,16.2,96.3,13.8,86.96,1.8,66.67,18.3,28.49,0.15,1.2,0,0,0,0,0,3.6,83.33,3,20,0.6,0,0.6,0,3.6,66.67
J. Aribo,Southampton,"RCMF, LCMF",28,5000000,2026-06-30,14,927,2,1.57,0,0.83,16.41,52.66,England,"England, Nigeria",left,183,76,no,5.92,5.63,60.34,1.46,73.33,0.1,0.14,0.19,2.43,3.54,0.87,0,0,0,0,1.94,0.19,2,0.19,0.15,0,0,11,1.07,36.36,18.182,0,0.97,20,2.14,59.09,6.8,47.14,2.14,1.26,0.19,35.44,89.59,7.38,80.26,9.51,92.86,11.07,94.74,0.29,100,14.42,7.78,0.08,0.29,0,0,0.1,100,0.1,1.84,100,0.87,44.44,0.1,100,0.68,0.19,2.33,58.33
K. Walker-Peters,Southampton,"RB, LB, LCB",27,20000000,2025-06-30,13,1300,0,0.57,2,1.05,17.65,55.69,England,England,right,173,62,no,7.68,7.41,61.68,0.9,46.15,0.14,0.19,0.35,2.98,4.02,0.9,3,0.21,0,0,2.77,0,0,0,0.04,0,0,9,0.62,33.33,0,0.14,1.59,13.04,3.32,68.75,8.38,52.07,1.38,3.67,0.55,48.74,90.2,14.33,87.92,8.45,97.54,17.38,91.63,1.18,58.82,17.09,22.31,0.07,0.55,0.07,0,0.14,50,0.28,4.22,86.89,1.45,61.9,0.28,50,0.97,0.21,5.12,72.97
B. Brereton Díaz,Southampton,"CF, LW, LWF",25,8000000,2028-06-30,10,517,0,1.09,0,0.02,14.45,48.19,England,"England, Chile",right,185,80,no,2.96,3.83,63.64,2.96,29.41,0,0,0.17,0.52,0.8,0.7,1,0.17,0,0,1.39,0,0,0,0.19,0,0,11,1.91,9.09,0,0,1.04,16.67,2.09,50,5.05,51.72,3.66,2.79,0.52,28.2,79.63,4,65.22,9.92,94.74,9.4,74.07,1.39,50,15.3,16.7,0,0.17,0,0,0.17,0,0.17,1.91,63.64,1.39,25,0.17,0,0.87,0.17,2.61,80
Y. Sugawara,Southampton,"RB, RWB",24,12000000,2028-06-30,13,846,1,0.3,1,1.87,11.6,47.71,Japan,Japan,right,178,68,no,7.98,5.85,63.64,1.17,27.27,1.06,1.49,0.43,3.19,4.46,0.53,2,0.21,0,0,2.13,0.11,1,0.11,0.03,0,0,6,0.64,33.33,16.667,0.11,3.19,36.67,1.28,58.33,2.66,48,1.17,1.38,0.21,43.94,83.78,13.83,77.69,6.6,95.16,14.79,82.01,2.45,52.17,17.68,34.61,0.2,0.96,0,0,0,0,0.32,4.57,83.72,3.51,54.55,0,0,0.53,1.17,6.81,67.19
N. Wood,Southampton,"CB, LCB, RCB",22,3800000,2028-06-30,2,199,0,0,0,0,10.4,47.83,England,"England, Jamaica",right,188,75,no,8.59,5.88,53.85,0.9,50,1.36,1.73,0.9,4.07,5.19,0.9,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,20,0,0.9,0.45,58.34,96.9,10.85,87.5,7.69,100,32.11,98.59,1.36,33.33,17,35.14,0,0,0,0,0,0,0,1.81,100,0,0,0,0,0,0,3.17,57.14
C. Archer,Southampton,CF,22,13000000,2028-06-30,15,924,2,4.73,1,0.1,15.39,32.28,England,"England, Jamaica",right,175,72,no,2.82,3.02,58.06,1.75,16.67,0,0,0.1,1.07,1.53,0.58,0,0,0,0,1.56,0.19,2,0.19,0.46,0,0,17,1.66,35.29,11.765,0.1,0.58,0,1.85,52.63,6.43,28.79,3.51,0.88,0.29,11.79,82.64,1.46,66.67,4.58,95.74,3.12,81.25,0.29,33.33,14.74,9.52,0.01,0.1,0,0.1,0,0,0.1,0.68,71.43,0.39,100,0,0,0.58,0,1.07,54.55
F. Downes,Southampton,"DMF, RCMF, LCMF",25,9000000,2028-06-30,13,1245,1,1.05,0,0.81,16.77,50.86,England,England,right,178,70,no,8.24,8.75,57.02,1.16,56.25,0.07,0.1,0.43,3.18,4.26,2.1,6,0.43,0,0,0.51,0.07,1,0.07,0.08,0,0,6,0.43,50,16.667,0,0.14,0,0.72,40,4.12,40.35,0.65,1.16,0.29,44.67,92.72,9.54,80.3,10.34,95.8,16.12,97.31,1.37,57.89,16.12,19.19,0.06,0.58,0,0,0.22,0,0,2.67,83.78,1.08,66.67,0.36,0,0.65,0.07,3.47,66.67
